evaluation_date,model_id,towel_id,towel_color,towel_shape,test_regime,success_code,n_trials,n_success,success_rate,wilson_95_lower,wilson_95_upper,source_note
2026-09-03,base20k,T-blue-pretrain-square,blue,square,pretrain_seen_square,0010110011,10,5,0.50,0.237,0.763,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,base20k,T-green-hil-square,green,square,hil_seen_square,0000101010,10,3,0.30,0.108,0.603,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,base20k,T-red-hil-square,red,square,hil_seen_square,0000001001,10,2,0.20,0.057,0.510,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,base20k,T-yellow-unseen-square,yellow,square,unseen_square,0100000000,10,1,0.10,0.018,0.404,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,base20k,T-white-unseen-rectangle,white,rectangle,unseen_color_instance_shape,1000000100,10,2,0.20,0.057,0.510,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,scratch20k,T-blue-pretrain-square,blue,square,pretrain_seen_square,0000000000,10,0,0.00,0.000,0.278,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,scratch20k,T-green-hil-square,green,square,hil_seen_square,1000000100,10,2,0.20,0.057,0.510,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,scratch20k,T-red-hil-square,red,square,hil_seen_square,1100000001,10,3,0.30,0.108,0.603,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,scratch20k,T-yellow-unseen-square,yellow,square,unseen_square,1000000010,10,2,0.20,0.057,0.510,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,scratch20k,T-white-unseen-rectangle,white,rectangle,unseen_color_instance_shape,0011000010,10,3,0.30,0.108,0.603,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,finetune10k,T-blue-pretrain-square,blue,square,pretrain_seen_square,1110011111,10,8,0.80,0.490,0.943,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,finetune10k,T-green-hil-square,green,square,hil_seen_square,1110111111,10,9,0.90,0.596,0.982,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,finetune10k,T-red-hil-square,red,square,hil_seen_square,1111101101,10,8,0.80,0.490,0.943,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,finetune10k,T-yellow-unseen-square,yellow,square,unseen_square,0110011011,10,6,0.60,0.313,0.832,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
2026-09-03,finetune10k,T-white-unseen-rectangle,white,rectangle,unseen_color_instance_shape,1010010100,10,4,0.40,0.168,0.687,condition-level binary code supplied by operator; random placement pose not recorded; not mapped to trial IDs
