trial_id,run_block,within_block,condition_repeat,model_id,model_role,checkpoint,towel_id,color,towel_shape,pretrain_exposure,hil_exposure,test_regime,layout_id,layout_dx_mm,layout_dy_mm,layout_yaw_deg,executed_steps_m,runtime_config_id,trial_valid,invalid_reason,rerun_of,autonomous_success,correct_both_corner_grasp,lift_success,fold_success,full_task_success,fold_corner_error_mm,task_time_s,intervention_or_abort,failure_stage,failure_mode,episode_path,human_verified,notes
TS001,1,1,1,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS002,1,2,1,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS003,1,3,1,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS004,1,4,1,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS005,1,5,1,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS006,1,6,1,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS007,1,7,1,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS008,1,8,1,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS009,1,9,1,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS010,1,10,1,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS011,1,11,1,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS012,1,12,1,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS013,1,13,1,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS014,1,14,1,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS015,1,15,1,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS016,2,1,2,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS017,2,2,2,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS018,2,3,2,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS019,2,4,2,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS020,2,5,2,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS021,2,6,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS022,2,7,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS023,2,8,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS024,2,9,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS025,2,10,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS026,2,11,2,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS027,2,12,2,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS028,2,13,2,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS029,2,14,2,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
