trial_index,block,trial_id,layout_id,layout_definition,experiment,checkpoint_short,dataset,external_camera,K,M,control_hz,timeout_s,checkpoint_abs,top_topic,runtime_commit,lighting_state,auto_exposure,recorder_health,left_valid_contact,right_valid_contact,left_grasp_success,right_grasp_success,lift_10cm_success,hold_3s_success,stable_corner_grasp_success,failure_mode,operator_notes
1,1,E3M10-F20-001,L5,image_down_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
2,1,E3M10-F20-002,L4,image_up_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
3,1,E3M10-F20-003,L2,image_left_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
4,1,E3M10-F20-004,L1,center,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
5,1,E3M10-F20-005,L3,image_right_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
6,2,E3M10-F20-006,L1,center,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
7,2,E3M10-F20-007,L2,image_left_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
8,2,E3M10-F20-008,L3,image_right_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
9,2,E3M10-F20-009,L5,image_down_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
10,2,E3M10-F20-010,L4,image_up_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
11,3,E3M10-F20-011,L1,center,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
12,3,E3M10-F20-012,L2,image_left_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
13,3,E3M10-F20-013,L3,image_right_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
14,3,E3M10-F20-014,L4,image_up_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
15,3,E3M10-F20-015,L5,image_down_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
16,4,E3M10-F20-016,L3,image_right_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
17,4,E3M10-F20-017,L5,image_down_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
18,4,E3M10-F20-018,L2,image_left_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
19,4,E3M10-F20-019,L4,image_up_30mm,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
20,4,E3M10-F20-020,L1,center,E3-Orbbec,pick_corner3/020000,pick_corner_orbbec,Orbbec,100,10,30,60,,,,,,,,,,,,,,,
